Entry	is	we	on	that
Context Becomes Content: Sensor Data for Computer-Supported Reflective Learning	1	2	5	1
Rethinking the Impact of Activity Design on a Mobile Learning Trail: The Missing Dimension of the Physical Affordances	0	2	5	3
Exploring Students&#x2019; Progression in an Inquiry Science Curriculum Enabled by Mobile Learning	0	0	5	2
Towards User Support in Ubiquitous Learning Systems	1	3	0	2
Detecting Mobile Malicious Webpages in Real Time	0	6	1	2
Tracking People in Highly Dynamic Industrial Environments	1	4	0	1
CBS: Community-Based Bus System as Routing Backbone for Vehicular Ad Hoc Networks	7	4	1	1
Offloading in HetNet: A Coordination of Interference Mitigation, User Association, and Resource Allocation	6	0	2	2
Reliable Physical-Layer Network Coding Supporting Real Applications	0	2	2	5
Opportunistic Network Decoupling with Virtual Full-Duplex Operation in Multi-Source Interfering Relay Networks	4	1	0	1
Analysis of Dynamic Channel Bonding in Dense Networks of WLANs	6	0	1	3
Novel Design on Multiple Channel Sensing for Partially Observable Cognitive Radio Networks	6	0	3	1
Low-Cost Collaborative Mobile Charging for Large-Scale Wireless Sensor Networks	3	7	1	3
Context-Aware System Design for Remote Health Monitoring: An Application to Continuous Edema Assessment	1	2	1	2
Modeling Buffer Starvations of Video Streaming in Cellular Networks with Large-Scale Measurement of User Behavior	5	3	3	4
Online Task Assignment for Crowdsensing in Predictable Mobile Social Networks	5	4	3	0
A Mean Field Analysis of CSMA/CA Throughput	5	2	0	2
A Proxy-Based Collaboration System to Minimize Content Download Time and Energy Consumption	1	2	1	3
Fine-Grained Abnormal Driving Behaviors Detection and Identification with Smartphones	1	5	2	3
Content-Aware Network Coding Over Device-to-Device Networks	1	3	0	5
On Timing Reacquisition and Enhanced Primary Synchronization Signal (ePSS) Design for Energy Efficient 3GPP LTE MTC	2	2	3	1
Wi-Fi Seeker: A link and Load Aware AP Selection Algorithm	1	0	1	4
A Joint Indoor WLAN Localization and Outlier Detection Scheme Using LASSO and Elastic-Net Optimization Techniques	3	2	0	1
Worker-Contributed Data Utility Measurement for Visual Crowdsensing Systems	4	4	3	0
Network-Assisted Outband D2D-Clustering in 5G Cellular Networks: Theory and Practice	2	4	5	1
Contradiction Based Gray-Hole Attack Minimization for Ad-Hoc Networks	1	1	0	0
Using Wireless Link Dynamics to Extract a Secret Key in Vehicular Scenarios	3	2	0	2
Joint Cell Zooming and Channel Allocation Using C-SAP for Large Action Sets	8	3	0	0
It Can Drain Out Your Energy: An Energy-Saving Mechanism Against Packet Overhearing in High Traffic Wireless LANs	2	2	1	2
Sparsity Based Efficient Cross-Correlation Techniques in Sensor Networks	4	2	6	2
On the Competition Among Small Cell Wireless Operators with Large Scale Deployments	2	0	2	2
Economic Analysis of Crowdsourced Wireless Community Networks	0	6	1	2
Load-Balanced Opportunistic Routing for Duty-Cycled Wireless Sensor Networks	7	1	1	5
Maximum Lifetime Combined Barrier-Coverage of Weak Static Sensors and Strong Mobile Sensors	3	3	2	3
General Framework for Network Throughput Maximization in Sink-Based Energy Harvesting Wireless Sensor Networks	1	3	2	1
Dual-Scheduler Design for C/U-Plane Decoupled Railway Wireless Networks	3	5	0	0
Delay Analysis and Routing for Two-Dimensional VANETs Using Carry-and-Forward Mechanism	7	1	1	1
Indoor Localization and Automatic Fingerprint Update with Altered AP Signals	4	3	0	1
THEMIS: Collusion-Resistant and Fair Pricing Spectrum Auction Under Dynamic Supply	0	5	1	5
E-MICE: Energy-Efficient Concurrent Exploitation of Multiple Wi-Fi Radios	6	0	6	2
Optimal Device-Aware Caching	4	2	0	1
Rapid, User-Transparent, and Trustworthy Device Pairing for D2D-Enabled Mobile Crowdsourcing	4	2	1	1
Adaptive Optimal Stochastic Control of Delay-Tolerant Networks	4	0	1	2
Neighbor Discovery and Rendezvous Maintenance with Extended Quorum Systems for Mobile Applications	2	6	1	3
Activity Probability-Based Performance Analysis and Contention Control for IEEE 802.11 WLANs	0	5	3	5
A Study on Application-Aware Scheduling in Wireless Networks	3	1	2	1
Smartphone-Based Real Time Vehicle Tracking in Indoor Parking Structures	0	8	0	2
Cost-Effective Mapping between Wireless Body Area Networks and Cloud Service Providers Based on Multi-Stage Bargaining	2	4	3	1
AT-MAC: Adaptive MAC-Frame Payload Tuning for Reliable Communication in Wireless Body Area Networks	3	3	3	3
Battery-Aware Mobile Data Service	2	2	2	1
An Adaptive Bayesian System for Context-Aware Data Fusion in Smart Environments	2	1	1	1
There and Back Again: Detecting Regularity in Human Encounter Communities	2	2	1	4
Cooperative Wi-Fi Deployment: A One-to-Many Bargaining Framework	1	6	3	2
Efficient 3G/4G Budget Utilization in Mobile Sensing Applications	1	2	1	6
FRESH: Push the Limit of D2D Communication Underlaying Cellular Networks	0	2	1	1
A Distributed Learning Automata Scheme for Spectrum Management in Self-Organized Cognitive Radio Network	7	1	1	1
Data Analytics for Diagnosing the RF Condition in Self-Organizing Networks	3	0	3	1
Robust Large-Scale Spectrum Auctions against False-Name Bids	2	3	0	3
Latency Aware IPv6 Packet Delivery Scheme over IEEE 802.15.4 Based Battery-Free Wireless Sensor Networks	2	2	0	2
TSRA: An Adaptive Mechanism for Switching between Communication Modes in Full-Duplex Opportunistic Spectrum Access Systems	1	5	2	2
Learn to Recognise: Exploring Priors of Sparse Face Recognition on Smartphones	7	4	5	2
GPS-Free Maintenance of A Free-Space-Optical Link Between Two Autonomous Mobiles	3	4	1	2
Near Optimal Data Gathering in Rechargeable Sensor Networks with a Mobile Sink	3	4	0	0
How to Download More Data from Neighbors? A Metric for D2D Data Offloading Opportunity	1	3	0	5
Whom to Blame? Automatic Diagnosis of Performance Bottlenecks on Smartphones	1	3	4	5
Feedback-Free Binning Design for Mobile Wyner-Ziv Video Coding: An Operational Duality between Source Distortion and Channel Capacity	3	8	3	4
Batch Identification Game Model for Invalid Signatures in Wireless Mobile Networks	4	3	2	1
INTRI: Contour-Based Trilateration for Indoor Fingerprint-Based Localization	3	2	0	0
Comments on the Paper ¡°Personal Mobile Radars with Millimeter-Wave Massive Arrays for Indoor Mapping¡±	0	0	1	0
Spectrum-Energy Efficiency Optimization for Downlink LTE-A for Heterogeneous Networks	7	1	1	2
Characterizing the Instantaneous Connectivity of Large-Scale Urban Vehicular Networks	2	3	0	1
ZapDroid: Managing Infrequently Used Applications on Smartphones	1	3	3	4
A Fine-Grained Indoor Location-Based Social Network	4	1	2	2
Stability Analysis of Frame Slotted Aloha Protocol	3	4	3	1
A New Zigzag-Decodable Code with Efficient Repair in Wireless Distributed Storage	5	0	2	0
Cooperative Source Node Tracking in Non-Line-of-Sight Environments	4	3	1	3
An RFID Based Smartphone Proximity Absence Alert System	6	8	3	4
Optimal Sleep-Wake Scheduling for Energy Harvesting Smart Mobile Devices	4	6	0	5
A Reliable and Efficient Distributed Service Composition Approach in Pervasive Environments	3	1	2	2
Mobility Aware Virtual Network Embedding	3	0	2	4
Channel Selection Algorithm for Cognitive Radio Networks with Heavy-Tailed Idle Times	0	5	3	1
MoZo: A Moving Zone Based Routing Protocol Using Pure V2V Communication in VANETs	1	2	1	1
On Missing Tag Detection in Multiple-Group Multiple-Region RFID Systems	2	4	1	1
Exploring Tag Distribution in Multi-Reader RFID Systems	3	4	3	2
Practical Opportunistic Data Collection in Wireless Sensor Networks with Mobile Sinks	0	5	2	3
Harnessing Encrypted Data in Cloud for Secure and Efficient Mobile Image Sharing	1	5	0	4
Recover Corrupted Data in Sensor Networks: A Matrix Completion Solution	1	4	2	3
Optimal Cooperative Content Caching and Delivery Policy for Heterogeneous Cellular Networks	2	3	0	1
Measuring and Understanding RRC State Machine Optimization in Light of Recent Advancements	3	6	1	4
Pothole in the Dark: Perceiving Pothole Profiles with Participatory Urban Vehicles	3	2	3	0
Editorial: A Message from the Incoming Editor-in-Chief	0	0	0	0
Maximizing Charging Satisfaction of Smartphone Users via Wireless Energy Transfer	5	6	3	5
Montage: Combine Frames with Movement Continuity for Realtime Multi-User Tracking	1	3	0	1
RSS-Based Ranging by Leveraging Frequency Diversity to Distinguish the Multiple Radio Paths	7	6	0	5
Spectrum-Aware Anypath Routing in Multi-Hop Cognitive Radio Networks	2	1	2	1
Empowering Device-to-Device Networks with Cross-Link Interference Management	3	2	0	5
Propagation- and Mobility-Aware D2D Social Content Replication	0	4	3	1
Securing the Backpressure Algorithm for Wireless Networks	3	3	0	3
Multi-Channel Medium Access without Control Channels: A Full Duplex MAC Design	0	6	1	3
ShakeUnlock: Securely Transfer Authentication States Between Mobile Devices	3	3	2	0
Utility Maximization for Multimedia Data Dissemination in Large-Scale VANETs	2	4	1	0
Analysis of Multi-Hop Probabilistic Forwarding for Vehicular Safety Applications on Highways	3	1	2	2
Priority-Aware FEC Coding for High-Definition Mobile Video Delivery Using TCP	4	3	0	0
Optimized Upload Strategies for Live Scalable Video Transmission from Mobile Devices	5	4	2	4
Astro: Auto-Generation of Synthetic Traces Using Scaling Pattern Recognition for MPI Workloads	1	1	0	2
CLAP: Component-Level Approximate Processing for Low Tail Latency and High Result Accuracy in Cloud Online Services	0	2	0	0
A Fuzzy Approach Based on Heterogeneous Metrics for Scaling Out Public Clouds	4	1	2	2
<sc>ATOM</sc>: Efficient Tracking, Monitoring, and Orchestration of Cloud Resources	3	5	3	1
Cooper: Expedite Batch Data Dissemination in Computer Clusters with Coded Gossips	0	4	3	2
Evaluating Scalable Distributed Erlang for Scalability and Reliability	0	7	2	4
On the Implication of NTC versus Dark Silicon on Emerging Scale-Out Workloads: The Multi-Core Architecture Perspective	4	4	5	1
Exploiting Locality in Sparse Matrix-Matrix Multiplication on Many-Core Architectures	3	0	4	0
Design Space Exploration of 2-D Processor Array Architectures for Similarity Distance Computation	2	1	1	2
A Load Balancing and Multi-Tenancy Oriented Data Center Virtualization Framework	5	1	4	2
Dynamic Associativity Management in Tiled CMPs by Runtime Adaptation of Fellow Sets	4	0	1	2
An Alternating Direction Method Approach to Cloud Traffic Management	0	2	0	0
TLB-Based Temporality-Aware Classification in CMPs with Multilevel TLBs	1	1	3	0
GPU Implementation of Bitplane Coding with Parallel Coefficient Processing for High Performance Image Compression	3	0	1	2
Live VM Migration Under Time-Constraints in Share-Nothing IaaS-Clouds	1	6	7	5
Resource Availability Prediction in Distributed Systems: An Approach for Modeling Non-Stationary Transition Probabilities	3	2	1	1
Querying Web-Scale Knowledge Graphs Through Effective Pruning of Search Space	3	3	1	2
Routing and Fault Tolerance in Z-Fat Tree	2	4	1	2
Piccolo: A Fast and Efficient Rollback System for Virtual Machine Clusters	1	3	3	2
Managing Resource Limitation of Best-Effort HTM	3	2	0	2
Simulating MPI Applications: The SMPI Approach	0	2	2	0
Oasis: Scaling Out Datacenter Sustainably and Economically	0	2	0	3
APPLES: Efficiently Handling Spin-lock Synchronization on Virtualized Platforms	6	1	7	2
Optimization of Fusion Kernels on Accelerators with Indirect or Strided Memory Access Patterns	3	2	9	1
Task Scheduling Techniques for Asymmetric Multi-Core Systems	0	3	1	3
Scalable Single Source Shortest Path Algorithms for Massively Parallel Systems	0	5	2	0
Projective Networks: Topologies for Large Parallel Computer Systems	0	0	3	0
Leader Set Selection for Low-Latency Geo-Replicated State Machine	0	2	3	3
DGLB: Distributed Stochastic Geographical Load Balancing over Cloud Networks	4	0	0	2
Cost-Aware Region-Level Data Placement in Multi-Tiered Parallel I/O Systems	2	2	4	2
Stochastic Resource Provisioning for Containerized Multi-Tier Web Services in Clouds	1	3	5	1
Lazy Irrevocability for Best-Effort Transactional Memory Systems	5	5	1	3
Distributed Mining of Contrast Patterns	1	2	2	1
Sharing-Aware Online Virtual Machine Packing in Heterogeneous Resource Clouds	2	2	2	7
Workload Consolidation for Cloud Data Centers with Guaranteed QoS Using Request Reneging	0	5	1	4
Response-Time Analysis in Hierarchically-Scheduled Time-Partitioned Distributed Systems	3	0	0	3
FoToNoC: A Folded Torus-Like Network-on-Chip Based Many-Core Systems-on-Chip in the Dark Silicon Era	1	1	11	1
Parallelizing Exact and Approximate String Matching via Inclusive Scan on a GPU	3	6	3	2
Lightweight Virtual Memory Support for Zero-Copy Sharing of Pointer-Rich Data Structures in Heterogeneous Embedded SoCs	2	1	2	0
Asynchronous Non-Generational Model to Parallelize Metaheuristics: A Bioinformatics Case Study	1	1	1	0
VLCcube: A VLC Enabled Hybrid Network Structure for Data Centers	1	2	1	2
Dynamic Configuration of Partitioning in Spark Applications	3	5	4	2
Binary-Tree Based Estimation of File Requests for Efficient Data Replication	3	2	1	2
Exploring Efficient Hardware Support for Applications with Irregular Memory Patterns on Multinode Manycore Architectures	0	3	4	2
iShuffle: Improving Hadoop Performance with Shuffle-on-Write	1	2	3	2
Ephemeral Content Popularity at the Edge and Implications for On-Demand Caching	1	4	4	5
AppBooster: Boosting the Performance of Interactive Mobile Applications with Computation Offloading and Parameter Tuning	2	2	2	0
Understanding Big Data Analytics Workloads on Modern Processors	1	4	4	3
Energy-Aware Scheduling of Embarrassingly Parallel Jobs and Resource Allocation in Cloud	2	6	2	4
Traffic-Aware Geo-Distributed Big Data Analytics with Predictable Job Completion Time	2	4	2	3
Parallel Deep Neural Network Training for Big Data on Blue Gene/Q	2	2	4	1
Leveraging Adaptive I/O to Optimize Collective Data Shuffling Patterns for Big Data Analytics	6	2	3	3
Repair Tree: Fast Repair for Single Failure in Erasure-Coded Distributed Storage Systems	3	2	3	1
Optimizing Cloud-Service Performance: Efficient Resource Provisioning via Optimal Workload Allocation	8	0	0	0
SACAT: Streaming-Aware Conflict-Avoiding Thrashing-Resistant GPGPU Cache Management Scheme	2	0	1	3
An Efficient Protection Technique for Last Level STT-RAM Caches in Multi-Core Processors	1	1	2	1
An Incrementally Scalable and Cost-Efficient Interconnection Structure for Data Centers	3	1	0	2
On the Heterogeneity Bias of Cost Matrices for Assessing Scheduling Algorithms	2	3	4	2
A High Performance Block Eigensolver for Nuclear Configuration Interaction Calculations	0	8	7	1
Real-Time GPU Resource Management with Loadable Kernel Modules	2	0	2	3
Scalable Adaptive NUMA-Aware Lock	3	3	1	3
A Dynamic Approach for Workload Partitioning on GPU Architectures	1	0	3	0
Towards Long-View Computing Load Balancing in Cluster Storage Systems	4	5	0	3
Solving k-Set Agreement Using Failure Detectors in Unknown Dynamic Networks	2	4	2	0
Global EDF Schedulability Analysis for Parallel Tasks on Multi-Core Platforms	3	3	5	4
OpenCL-Based FPGA-Platform for Stencil Computation and Its Optimization Methodology	3	3	1	1
Diamond Tiling: Tiling Techniques to Maximize Parallelism for Stencil Computations	1	3	1	5
Preserving Privacy with Probabilistic Indistinguishability in Weighted Social Networks	1	3	1	1
Renewable Energy Pricing Driven Scheduling in Distributed Smart Community Systems	5	1	0	3
Large-Scale VM Placement with Disk Anti-Colocation Constraints Using Hierarchical Decomposition and Mixed Integer Programming	3	4	0	3
The Unicorn Runtime: Efficient Distributed Shared Memory Programming for Hybrid CPU-GPU Clusters	5	4	4	3
MRCP-RM: A Technique for Resource Allocation and Scheduling of MapReduce Jobs with Deadlines	6	0	11	8
Semi-External Memory Sparse Matrix Multiplication for Billion-Node Graphs	1	4	5	1
iASK: A Distributed Q&A System Incorporating Social Community and Global Collective Intelligence	0	3	3	3
RAMSYS: Resource-Aware Asynchronous Data Transfer with Multicore SYStems	2	1	1	1
Securing Coding-Based Cloud Storage Against Pollution Attacks	4	3	2	6
CloudScout: A Non-Intrusive Approach to Service Dependency Discovery	3	3	2	4
Algorithms for Balanced Graph Colorings with Applications in Parallel Computing	6	5	2	4
Path Setup for Hybrid NoC Architectures Exploiting Flooding and Standby	2	2	0	0
A Self-Routing on-Chip Network	5	0	2	5
Efficient Resource Constrained Scheduling Using Parallel Two-Phase Branch-and-Bound Heuristics	0	0	1	4
Beehive: Erasure Codes for Fixing Multiple Failures in Distributed Storage Systems	1	3	3	2
Energy Efficiency for Clustered Heterogeneous Multicores	1	2	3	3
Survey on Real-Time Networks-on-Chip	0	0	6	0
Privacy-Aware Scheduling SaaS in High Performance Computing Environments	5	3	3	2
Feedback-Control & Queueing Theory-Based Resource Management for Streaming Applications	1	3	2	0
PLAN: Joint Policy- and Network-Aware VM Management for Cloud Data Centers	2	3	0	3
Edge Provisioning with Flexible Server Placement	1	4	1	2
Dynamic Service Placement for Mobile Micro-Clouds with Predicted Future Costs	6	4	0	2
A Parallel Random Forest Algorithm for Big Data in a Spark Cloud Computing Environment	7	1	2	0
Semi-Online Algorithms for Computational Task Offloading with Communication Delay	4	7	3	2
Application Scheduling, Placement, and Routing for Power Efficiency in Cloud Data Centers	0	5	0	2
Hybrid Energy Storage with Supercapacitor for Cost-Efficient Data Center Power Shaving and Capping	1	4	1	1
Design and Implementation of a Communication-Optimal Classifier for Distributed Kernel Support Vector Machines	4	2	3	1
New Model-Based Methods and Algorithms for Performance and Energy Optimization of Data Parallel Applications on Homogeneous Multicore Clusters	2	4	5	2
ExCCC-DCN: A Highly Scalable, Cost-Effective and Energy-Efficient Data Center Structure	2	2	1	1
Building an Efficient Put-Intensive Key-Value Store with Skip-Tree	0	3	1	1
Optimal Symbiosis and Fair Scheduling in Shared Cache	2	0	2	3
Optimizing Graph Processing on GPUs	0	2	2	1
GroupTrust: Dependable Trust Management	1	8	2	4
A Framework for Evaluating the Results of the SZZ Approach for Identifying Bug-Introducing Changes	4	5	0	7
A Dissection of the Test-Driven Development Process: Does It Really Matter to Test-First or to Test-Last?	1	5	1	3
A Feature-Based Classification of Model Repair Approaches	1	1	2	0
Supporting Change Impact Analysis Using a Recommendation System: An Industrial Case Study in a Safety-Critical Context	1	4	4	3
Keyword Search for Building Service-Based Systems	2	2	1	4
The Value of Exact Analysis in Requirements Selection	3	3	1	1
Automated Steering of Model-Based Test Oracles to Admit Real Program Behaviors	4	1	1	3
A Taxonomy and Qualitative Comparison of Program Analysis Techniques for Security Assessment of Android Software	0	2	0	1
Online Reliability Prediction via Motifs-Based Dynamic Bayesian Networks for Service-Oriented Systems	2	3	0	0
A System for Profiling and Monitoring Database Access Patterns by Application Programs for Anomaly Detection	9	4	0	5
The Use of Summation to Aggregate Software Metrics Hinders the Performance of Defect Prediction Models	2	3	1	4
Approaches to Co-Evolution of Metamodels and Models: A Survey	0	4	1	1
Self-Adaptive and Online QoS Modeling for Cloud-Based Software Services	4	5	6	3
Model-Based Self-Aware Performance and Resource Management Using the Descartes Modeling Language	1	4	1	3
An Enhanced Bailout Protocol for Mixed Criticality Embedded Software	4	1	1	1
Mining Sequences of Developer Interactions in Visual Studio for Usage Smells	2	2	0	5
Efficient Dynamic Updates of Distributed Components Through Version Consistency	0	1	2	3
Test Oracle Strategies for Model-Based Testing	3	2	0	2
An Improved SDA Based Defect Prediction Framework for Both Within-Project and Cross-Project Class-Imbalance Problems	2	5	1	2
Improving Automated Bug Triaging with Specialized Topic Model	0	7	3	2
Automating Live Update for Generic Server Programs	1	0	8	1
Dependence Guided Symbolic Execution	4	3	1	3
CACheck: Detecting and Repairing Cell Arrays in Spreadsheets	2	1	1	3
Improving Timeliness and Visibility in Publishing Software Engineering Research	0	0	0	0
How Social and Communication Channels Shape and Challenge a Participatory Culture in Software Development	1	2	2	0
A Study of Causes and Consequences of Client-Side JavaScript Bugs	3	2	0	3
Automated Synthesis and Dynamic Analysis of Tradeoff Spaces for Object-Relational Mapping	0	5	1	5
DECAF: A Platform-Neutral Whole-System Dynamic Binary Analysis Platform	2	4	2	2
ARENA: An Approach for the Automated Generation of Release Notes	1	1	1	3
Timed Automata Modeling and Verification for Publish-Subscribe Structures Using Distributed Resources	1	1	2	0
Nopol: Automatic Repair of Conditional Statement Bugs in Java Programs	3	3	3	2
Interaction Models and Automated Control under Partial Observable Environments	2	3	1	2
Process Aspects and Social Dynamics of Contemporary Code Review: Insights from Open Source Development and Industrial Practice at Microsoft	1	3	0	4
An Empirical Comparison of Model Validation Techniques for Defect Prediction Models	2	4	2	3
2016 Reviewers List<formula formulatype="inline"><tex Notation="TeX">$^\ast$</tex><mathgraphic graphicformat="GIF" fileref="reviewlist-ieq1-2636498.gif"/></formula>	0	0	0	0
2016 Index IEEE Transactions on Software Engineering Vol. 42	0	0	1	0
An Industrial Survey of Safety Evidence Change Impact Analysis Practice	4	3	3	3
Finding and Evaluating the Performance Impact of Redundant Data Access for Applications that are Developed Using Object-Relational Mapping Frameworks	0	5	1	3
Engineering Adaptive Model-Driven User Interfaces	1	0	2	2
Inner Source in Platform-Based Product Engineering	1	2	2	4
Test Case Prioritization Using Lexicographical Ordering	2	1	0	2
Parallel Algorithms for Testing Finite State Machines:Generating UIO Sequences	2	0	1	2
Enhanced Code Conversion Approach for the Integrated Cross-Platform Mobile Development (ICPMD)	4	0	4	2
Light-Weight, Inter-Procedural and Callback-Aware Resource Leak Detection for Android Apps	1	6	2	1
Developer Micro Interaction Metrics for Software Defect Prediction	0	1	0	4
Composite Constant Propagation and its Application to Android Program Analysis	2	6	1	1
Comments on ¡°Researcher Bias: The Use of Machine Learning in Software Defect Prediction¡±	0	4	2	6
A Multi-Objective Technique to Prioritize Test Cases	0	3	3	3
Coverage-Aware Test Database Reduction	3	0	0	3
A Lightweight System for Detecting and Tolerating Concurrency Bugs	4	1	1	6
Exploring Mobile End User Development: Existing Use and Design Factors	2	4	0	0
HYDRA: Massively Compositional Model for Cross-Project Defect Prediction	0	6	4	2
Software Reliability Analysis Using Weakest Preconditions in Linear Assignment Programs	0	4	1	0
Probabilistic Interface Automata	1	1	2	3
The Role of Method Chains and Comments in Software Readability and Comprehension&#x2014;An Experiment	1	2	3	1
A Survey on Metamorphic Testing	3	0	3	0
Dynamic Testing for Deadlocks via Constraints	2	1	1	5
Parallel Performance Problems on Shared-Memory Multicore Systems: Taxonomy and Observation	2	3	2	0
The Role of Ethnographic Studies in Empirical Software Engineering	4	0	0	2
Model Checking Software with First Order Logic Specifications Using AIG Solvers	2	1	3	8
A Survey on Software Fault Localization	3	1	1	2
Asymptotic Perturbation Bounds for Probabilistic Model Checking with Empirically Determined Probability Parameters	6	4	2	4
Designing Autonomic Management Systems by Using Reactive Control Techniques	3	3	2	2
A Game-Theoretic Foundation for the Maximum Software Resilience against Dense Errors	2	5	0	4
Dynamic Software Project Scheduling through a Proactive-Rescheduling Method	3	0	1	2
Variability Analysis of Requirements: Considering Behavioral Differences and Reflecting Stakeholders&#x2019; Perspectives	2	2	2	3
A Two-Component Language for Adaptation: Design, Semantics and Program Analysis	2	3	1	2
Automatically Recommending Peer Reviewers in Modern Code Review	2	5	4	3
Dynamic and Automatic Feedback-Based Threshold Adaptation for Code Smell Detection	5	1	3	3
Enforcing Exception Handling Policies with a Domain-Specific Language	0	5	2	4
Software Development in Startup Companies: The Greenfield Startup Model	1	3	0	0
Bidirectional Symbolic Analysis for Effective Branch Testing	1	1	2	7
Targeted Scrum: Applying Mission Command to Agile Software Development	2	4	4	2
RELAI Testing: A Technique to Assess and Improve Software Reliability	2	0	2	1
Effect of Domain Knowledge on Elicitation Effectiveness: An Internally Replicated Controlled Experiment	3	3	3	1
To Be Optimal or Not in Test-Case Prioritization	3	5	3	1
Mapping Bug Reports to Relevant Files: A Ranking Model, a Fine-Grained Benchmark, and Feature Evaluation	2	1	2	3
A Probabilistic Analysis of the Efficiency of Automated Software Testing	2	6	3	5
Black-Box String Test Case Generation through a Multi-Objective Optimization	6	0	1	2
An Approach to Checking Consistency between UML Class Model and Its Java Implementation	2	2	1	4
A Multi-Site Joint Replication of a Design Patterns Experiment Using Moderator Variables to Generalize across Contexts	3	3	4	1
Evaluating the Effects of Architectural Documentation: A Case Study of a Large Scale Open Source Project	1	4	2	2
Verifying Synchronization for Atomicity Violation Fixing	6	4	1	5
Metamorphic Testing for Software Quality Assessment: A Study of Search Engines	1	0	0	2
Impact of Introducing Domain-Specific Modelling in Software Maintenance: An Industrial Case Study	4	4	0	6
Detecting, Tracing, and Monitoring Architectural Tactics in Code	3	2	0	0
Connecting and Serving the Software Engineering Community	0	0	0	0
Automatic Source Code Summarization of Context for Java Methods	5	6	0	6
Crossover Designs in Software Engineering Experiments: Benefits and Perils	3	6	1	3
Probabilistic Model Checking of Regenerative Concurrent Systems	5	4	4	3
Using Reduced Execution Flow Graph to Identify Library Functions in Binary Code	4	2	1	2
<italic>SITAR</italic>: GUI Test Script Repair	1	1	1	4
G<sc>o</sc>P<sc>rime</sc>: A Fully Decentralized Middleware for Utility-Aware Service Assembly	3	2	1	2
Supporting Self-Adaptation via Quantitative Verification and Sensitivity Analysis at Run Time	3	0	2	2
Seer: A Lightweight Online Failure Prediction Approach	5	2	1	3
Supporting Scope Tracking and Visualization for Very Large-Scale Requirements Engineering-Utilizing FSC+, Decision Patterns, and Atomic Decision Visualizations	2	0	0	6
A Tool-Supported Methodology for Validation and Refinement of Early-Stage Domain Models	3	3	1	2
2015 Reviewers List<formula formulatype="inline"><tex Notation="TeX">$^\ast$</tex> <mathgraphic graphicformat="GIF" fileref="Reviewerslist-ieq1-2507218.gif"/></formula>	0	0	0	0
Editorial: Journal-First Publication for the Software Engineering Community	0	0	0	0
An Ontology-Based Product Architecture Derivation Approach	1	4	2	0
Novel Views of Objects from a Single Image	5	4	0	6
Uniform Projection for Multi-View Learning	5	0	2	1
Blind Image Denoising via Dependent Dirichlet Process Tree	3	1	1	0
Characterizing and Discovering Spatiotemporal Social Contact Patterns for Healthcare	1	3	2	1
Sparse Representation for 3D Shape Estimation: A Convex Relaxation Approach	3	4	2	1
Social Collaborative Filtering by Trust	2	2	2	4
Automatic Trimap Generation and Consistent Matting for Light-Field Images	0	7	1	1
Tri-Clustered Tensor Completion for Social-Aware Image Tag Refinement	1	3	3	1
Semantic Pooling for Complex Event Analysis in Untrimmed Videos	1	7	1	3
A Tube-and-Droplet-Based Approach for Representing and Analyzing Motion Trajectories	2	3	0	0
Robust Multiview Photometric Stereo Using Planar Mesh Parameterization	3	3	1	4
Discriminative Scale Space Tracking	4	2	4	0
Clustering by Minimum Cut Hyperplanes	4	0	0	1
Saliency Detection on Light Field	1	4	1	3
Sparse Representation-Based Open Set Recognition	3	3	0	1
Cover	0	0	0	0
The Reproduction Angular Error for Evaluating the Performance of Illuminant Estimation Algorithms	5	2	0	2
LP Relaxation of the Potts Labeling Problem Is as Hard as Any Linear Program	3	2	0	1
Joint Intermodal and Intramodal Label Transfers for Extremely Rare or Unseen Classes	5	4	4	0
DeepID-Net: Object Detection with Deformable Part Based Convolutional Neural Networks	2	1	1	0
HOTS: A Hierarchy of Event-Based Time-Surfaces for Pattern Recognition	1	3	5	1
A Unifying Model for Camera Calibration	0	3	0	1
Tree-Structured Models for Efficient Multi-Cue Scene Labeling	1	5	1	3
SIFTing Through Scales	2	6	0	3
DeepShape: Deep-Learned Shape Descriptor for 3D Shape Retrieval	2	2	3	2
Procrustean Normal Distribution for Non-Rigid Structure from Motion	3	1	1	2
Randomly Perturbed B-Splines for Nonrigid Image Registration	4	1	1	1
A Novel Nonparametric Maximum Likelihood Estimator for Probability Density Functions	5	0	0	3
City-Scale Localization for Cameras with Known Vertical Direction	3	3	0	3
Learning to Segment Human by Watching YouTube	4	1	4	2
Latent Regression Forest: Structured Estimation of 3D Hand Poses	1	1	1	1
Scatter Component Analysis: A Unified Framework for Domain Adaptation and Domain Generalization	3	2	4	4
Object Detection Networks on Convolutional Feature Maps	3	4	2	4
An Efficient Globally Optimal Algorithm for Asymmetric Point Matching	3	4	2	2
Cross-Domain Visual Matching via Generalized Similarity Measure and Feature Learning	1	4	1	1
Information-Theoretic Compressive Measurement Design	4	0	1	0
Face Verification via Class Sparsity Based Supervised Encoding	4	1	1	3
Multi-Language Online Handwriting Recognition	2	4	3	2
Modeling 4D Human-Object Interactions for Joint Event Segmentation, Recognition, and Object Localization	2	2	2	0
An Efficient Multilinear Optimization Framework for Hypergraph Matching	0	3	0	1
Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks	2	2	3	2
